Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0836_,1.1,4.824e-08,0.000e+00,2.361e-08,7.185e-08
_0837_,1.1,4.824e-08,0.000e+00,2.361e-08,7.185e-08
_0838_,1.1,4.555e-08,0.000e+00,2.361e-08,6.915e-08
_0839_,1.1,2.547e-07,0.000e+00,2.345e-08,2.782e-07
_0840_,1.1,2.547e-07,0.000e+00,2.345e-08,2.782e-07
_0841_,1.1,2.547e-07,0.000e+00,2.345e-08,2.782e-07
_0842_,1.1,2.547e-07,0.000e+00,2.345e-08,2.781e-07
_0843_,1.1,2.547e-07,0.000e+00,2.345e-08,2.781e-07
_0844_,1.1,2.547e-07,0.000e+00,2.345e-08,2.781e-07
_0845_,1.1,3.557e-07,0.000e+00,2.336e-08,3.790e-07
_0846_,1.1,4.824e-08,0.000e+00,2.361e-08,7.184e-08
_0847_,1.1,4.824e-08,0.000e+00,2.361e-08,7.184e-08
_0848_,1.1,2.547e-07,0.000e+00,2.345e-08,2.781e-07
_0849_,1.1,3.434e-08,0.000e+00,2.150e-08,5.585e-08
